frequency,noun1,noun2
292,aircraft,carriers
292,trial,judge
292,prison,camp
292,magazine,article
292,teaspoons,salt
292,cable,channels
291,ice,hockey
291,majority,vote
291,labor,markets
291,government,action
291,tax,laws
291,rice,vinegar
291,summary,judgment
291,background,noise
291,toilet,seat
291,opposition,leaders
291,money,supply
291,news,service
291,side,streets
291,pain,relief
290,community,support
290,tech,stocks
290,state,control
290,cable,channel
290,bargaining,agreement
290,capital,murder
290,field,work
290,poster,boy
289,research,design
289,goose,bumps
289,school,class
289,confidence,interval
289,sex,discrimination
289,silver,medal
289,reason,people
289,art,teacher
289,reform,plan
289,meteor,shower
289,problem,areas
289,end,product
288,head,coaches
288,starting,quarterback
288,strip,mall
288,data,points
288,circuit,court
288,area,code
288,neutron,stars
288,waste,stream
288,water,management
288,camping,trip
288,parking,spaces
288,auto,companies
288,community,health
287,microwave,background
287,target,audience
287,music,classes
287,first-round,draft
287,poison,gas
287,draft,choice
287,drug,problems
287,sports,fans
287,identity,development
287,training,center
287,satellite,dish
287,deposit,insurance
287,learning,activities
287,wedding,cake
287,paper,bags
286,budget,director
286,television,ads
286,fuel,oil
286,gold,chain
286,jigsaw,puzzle
286,pension,benefits
286,cheddar,cheese
286,print,media
286,journal,articles
286,summer,days
285,shock,wave
285,probation,officer
285,credit,crunch
285,hunger,strike
285,study,groups
285,state,health
285,life,forms
285,development,assistance
285,estate,developer
285,computer,model
285,masking,tape
285,degree,program
285,control,condition
285,sex,drive
285,guest,list
284,management,company
284,prison,term
284,sample,sizes
284,expert,systems
284,vacation,time
284,tourism,industry
284,conference,committee
284,border,patrol
284,leather,chair
284,bully,pulpit
284,publishing,house
284,liver,disease
283,brick,house
283,store,owner
283,drug,benefit
283,championship,team
283,treatment,center
282,journal,entries
282,education,policy
282,football,season
282,rescue,workers
282,adult,population
282,water,levels
281,basketball,star
281,gas,industry
281,bank,robbery
281,playoff,games
281,space,travel
281,oil,wells
281,oil,field
281,bike,ride
281,car,wash
281,room,door
281,insurance,program
280,car,companies
280,tax,bracket
280,community,policing
280,sea,levels
280,operating,budget
280,ear,infections
280,hospital,staff
280,cord,blood
280,piano,lessons
280,air,temperature
280,property,owner
280,brain,cancer
280,family,ties
280,war,criminal
280,cruise,ships
279,muscle,groups
279,market,system
279,coal,mines
279,health,issue
279,oil,paint
279,board,game
279,garden,hose
279,automobile,industry
279,percent,unemployment
279,film,director
279,tsp.,baking
278,manufacturing,process
278,printing,press
278,murder,scene
278,fossil,record
278,election,officials
278,survival,rate
278,buffer,zone
278,class,sizes
278,wedding,party
278,modus,operandi
278,tort,reform
278,ground,nutmeg
278,meeting,room
278,aid,agencies
277,policy,change
277,identity,crisis
277,guidance,counselor
277,jail,cell
277,state,courts
277,daytime,phone
277,teen,years
277,deputy,assistant
277,hip,hop
277,bathroom,mirror
277,debt,relief
277,air,pollutants
277,city,manager
277,pine,tree
277,school,staff
276,abortion,clinic
276,boxer,shorts
276,suit,jacket
276,law,students
276,news,magazine
276,minority,communities
276,coal,mine
276,energy,industry
276,heart,condition
276,guerrilla,war
276,head,injuries
276,flu,vaccine
276,income,level
275,community,life
275,community,services
275,energy,tax
275,time,people
275,student,behavior
275,store,shelves
275,subway,station
275,newspaper,reporter
275,health,needs
275,family,time
275,credit,union
275,suicide,note
275,law,office
275,state,parks
275,baseball,season
274,cable,operators
274,reform,legislation
274,news,anchor
274,pain,management
274,phone,bill
274,course,content
274,contact,lenses
274,jury,room
274,treatment,groups
274,intelligence,officers
274,school,lunch
274,hit,man
274,animal,studies
273,store,manager
273,food,choices
273,fishing,village
273,school,culture
273,opening,day
273,brain,activity
273,art,director
273,teddy,bears
273,water,column
273,bond,issue
273,pecking,order
272,space,flight
272,securities,fraud
272,company,stock
272,gunshot,wounds
272,arrest,warrant
272,insurance,plans
272,deer,hunting
272,tennis,ball
272,art,market
272,member,countries
272,picture,books
272,bubble,gum
272,intelligence,service
272,home,improvement
272,divorce,rate
272,university,faculty
272,childhood,memories
271,bay,leaves
271,gender,identity
271,rail,system
271,date,rape
271,food,sources
271,garbage,bag
271,coral,reef
271,blood,glucose
271,fishing,industry
271,goal,orientations
271,road,games
271,sports,cars
271,product,lines
271,trade,liberalization
270,core,group
270,seed,money
270,rock,bottom
270,pest,control
270,lung,disease
270,missile,crisis
270,office,workers
270,farmers,markets
270,kidney,disease
270,behavior,patterns
270,fruit,juice
270,problem-solving,skills
270,deficit,disorder
270,movie,business
270,management,program
270,witch,hunt
270,space,agency
270,sitting,position
269,survey,respondents
269,chat,room
269,time,zone
269,price,index
269,college,sports
269,birthday,present
269,percent,calories
269,city,life
269,street,level
269,plum,tomatoes
269,world,music
269,sex,workers
269,grammar,school
269,energy,level
269,student,groups
268,weather,patterns
268,quotation,marks
268,neon,sign
268,business,cycle
268,antitrust,laws
268,dressing,table
268,art,dealer
268,fur,coat
268,welfare,rolls
268,computer,screens
268,home,countries
268,travel,office
268,security,team
268,energy,savings
268,discussion,groups
268,field,studies
268,construction,sites
268,teaching,profession
268,material,world
268,assault,rifles
268,junk,mail
267,family,problems
267,landscape,architect
267,design,team
267,information,technologies
267,polo,shirt
267,cocoa,powder
267,student,outcomes
267,product,liability
267,lake,trout
267,star,power
267,service,agencies
267,forest,fires
267,teacher,ratings
267,straw,poll
267,baby,food
267,learning,style
267,floor,space
266,cigarette,smoking
266,fish,sauce
266,solo,album
266,deputy,secretary
266,name,tag
266,discipline,problems
266,salt,tsp.
266,wind,energy
266,child,protection
266,gene,pool
265,water,source
265,video,screen
265,market,power
265,percent,share
265,disc,jockey
265,maitre,d
265,water,conservation
265,crossword,puzzle
265,security,threat
265,history,teacher
265,industry,analysts
265,animal,life
265,sugar,cup
265,health,concerns
265,utility,bills
265,arts,educators
265,treasure,trove
265,steering,committee
264,test,tube
264,survival,rates
264,computer,simulations
264,security,personnel
264,confirmation,process
264,classroom,activities
264,drug,therapy
264,market,crash
264,operating,table
264,correlation,coefficient
264,jury,testimony
263,club,members
263,world,politics
263,hotel,suite
263,strip,club
263,auction,house
263,boarding,schools
263,commodity,prices
263,research,organization
263,time,capsule
263,achievement,tests
263,zip,code
263,work,clothes
263,family,vacation
263,coup,d'etat
263,testing,program
263,food,shortages
263,cloud,cover
263,pep,talk
263,budget,crisis
263,tablespoons,vegetable
262,defense,contractors
262,labor,relations
262,landing,gear
262,trading,system
262,reform,program
262,news,programs
262,target,population
262,entitlement,programs
262,support,staff
262,talk-show,host
262,business,opportunities
262,church,officials
261,trade,surplus
261,pepper,sauce
261,porch,steps
261,placebo,group
261,display,case
261,honor,roll
261,land,area
261,care,coverage
261,jury,trial
261,venture,capitalist
261,valley,floor
261,land,mine
261,building,block
261,pension,system
261,storage,room
261,management,strategies
261,art,objects
261,line,coach
261,police,officials
261,food,poisoning
261,mineral,water
261,baseball,cards
260,pepper,spray
260,impeachment,trial
260,business,associates
260,college,coaches
260,taxi,drivers
260,drug,cartels
260,detective,work
260,love,song
260,reception,desk
260,research,results
260,news,release
260,food,processing
260,party,system
260,insurance,rates
260,fishing,line
260,brain,function
260,cotton,candy
259,chicken,salad
259,estate,taxes
259,expert,witness
259,gun,laws
259,twin,towers
259,steroid,use
259,side,table
259,belly,button
259,rights,issues
259,panel,discussion
259,teaching,strategies
259,beer,cans
259,garden,center
259,news,editor
259,insurance,agent
259,medicine,man
259,uranium,enrichment
259,age,difference
259,tobacco,smoke
258,life,course
258,university,system
258,working,hours
258,estate,broker
258,dress,rehearsal
258,state,constitution
258,state,line
258,fuel,rods
258,estate,investment
258,suicide,attempts
257,fuel,costs
257,tennis,players
257,zero,tolerance
257,cross,country
257,guitar,player
257,office,hours
257,labor,union
257,business,dealings
257,pumpkin,pie
257,poison,ivy
257,country,singer
257,sports,editor
257,specialty,stores
257,nerve,gas
256,beer,bottle
256,police,detective
256,power,company
256,class,period
256,storage,tanks
256,food,items
256,executive,privilege
256,mass,index
256,candy,store
256,expiration,date
256,daylight,hours
256,sea,turtle
256,news,report
256,gender,difference
256,loading,dock
256,movie,industry
256,county,seat
256,fall,line
256,park,bench
255,title,track
255,health,clinic
255,mother,tongue
255,rock,formations
255,baseball,fans
255,background,music
255,wedding,band
255,title,character
255,drug,lords
255,telephone,conversation
255,government,contracts
255,rape,victims
255,care,industry
255,year,period
255,bronze,medal
255,intervention,strategies
254,learning,theory
254,fault,lines
254,policy,adviser
254,head,coaching
254,maintenance,organizations
254,sun,exposure
254,fire,station
254,income,distribution
254,goal,line
254,home,theater
254,regression,models
254,unemployment,rates
254,health,service
253,tax,plan
253,thought,processes
253,emergency,services
253,population,centers
253,weight,control
253,gender,relations
253,teaching,job
253,phone,conversations
253,football,star
253,tech,support
253,security,officer
253,species,richness
253,town,meetings
253,lamb,chops
253,enforcement,officer
253,care,needs
253,card,game
253,state,standards
253,panic,attacks
253,construction,paper
253,mozzarella,cheese
252,artery,disease
252,treatment,facilities
252,morning,paper
252,health,clinics
252,software,package
252,news,conferences
252,achievement,gap
252,money,management
252,security,systems
252,sickle,cell
251,tai,chi
251,holiday,shopping
251,team,effort
251,canvas,bag
251,computer,equipment
251,state,employees
251,grocery,shopping
251,fashion,industry
251,family,issues
250,media,reports
250,science,writer
250,resource,use
250,magnet,schools
250,wind,speed
250,computer,game
250,water,flow
250,school,band
250,drinking,problem
250,radio,telescope
250,adjunct,professor
250,information,officer
250,tablespoon,butter
250,combat,troops
250,board,chairman
250,energy,security
249,management,techniques
249,lightning,bolt
249,record,labels
249,brick,walls
249,toy,store
249,war,room
249,death,certificate
249,roadside,bomb
249,escape,route
249,picnic,tables
249,rights,leaders
249,budget,plan
249,health,center
249,election,season
249,control,pills
249,prison,officials
249,prison,terms
249,blood,transfusion
249,budget,surplus
248,team,sport
248,gas,chamber
248,football,fields
248,body,type
248,flow,rate
248,care,programs
248,war,stories
248,return,address
248,performance,standards
248,immigration,status
248,cadmium,yellow
248,group,therapy
248,butternut,squash
248,research,centers
248,face,mask
247,host,country
247,guinea,pig
247,summer,camps
247,porch,light
247,air,strike
247,peace,dividend
247,spirit,world
247,cable,company
247,market,conditions
247,odds,ratio
247,comfort,food
247,degree,murder
246,passenger,cars
246,nitrogen,oxides
246,performance,art
246,community,resources
246,crown,jewel
246,summer,job
246,committee,chairman
246,utility,vehicle
246,ground,ginger
246,gasoline,tax
246,approval,process
246,code,name
246,aid,programs
246,trans,fats
245,stone,floor
245,apartment,house
245,day-care,center
245,education,institutions
245,beta,carotene
245,transfer,students
245,subscale,scores
245,press,releases
245,grad,student
245,hospital,emergency
245,shop,owner
245,hydrogen,sulfide
245,art,scene
245,brute,force
245,psychology,professor
245,wiggle,room
245,spring,water
245,women,writers
245,travel,agency
245,conspiracy,theory
244,crime,scenes
244,horse,race
244,water,tower
244,liquor,stores
244,trade,embargo
244,counseling,programs
244,keynote,speaker
244,story,right
244,soup,kitchen
244,suicide,bombing
244,radio,host
244,arts,organizations
244,land,application
244,graduate,programs
244,blood,loss
244,belt,buckle
244,jet,lag
244,forest,products
244,video,clips
244,starting,job
244,guest,worker
243,industry,executives
243,glass,wall
243,kung,fu
243,conservation,efforts
243,computer,lab
243,activity,levels
243,sales,force
243,soccer,game
243,assessment,process
243,police,power
243,car,seats
243,flight,deck
243,health-care,plan
243,community,centers
243,test,items
243,largemouth,bass
243,baby,boomer
243,savings,rate
242,skills,training
242,letter,writer
242,glass,beads
242,retirement,income
242,cord,injury
242,record,time
242,power,tools
242,quality,care
242,college,courses
242,construction,project
242,hotel,lobby
242,service,area
242,achievement,motivation
242,tree,limbs
242,crab,cakes
242,serial,number
242,storage,area
242,community,relations
242,season,finale
242,data,entry
242,health-care,costs
242,finance,minister
242,laptop,computers
242,steam,engine
241,church,services
241,sound,waves
241,teaspoon,sugar
241,vision,rehabilitation
241,bidding,war
241,computing,power
241,heart,transplant
241,ear,canal
241,behavior,management
241,department,head
241,school,buildings
241,peer,groups
241,management,programs
241,pain,medication
241,music,students
241,reading,skills
241,leather,boots
241,football,teams
241,parole,board
241,lip,gloss
241,family,size
241,cup,flour
241,rallying,cry
241,university,professor
240,school,work
240,management,consultant
240,computer,monitor
240,church,attendance
240,baseball,field
240,group,homes
240,magazine,articles
240,program,evaluation
240,pound,cake
240,energy,levels
240,action,research
240,football,program
240,information,superhighway
240,learning,outcomes
240,class,warfare
239,life,sciences
239,gathering,place
239,heart,muscle
239,career,goals
239,intelligence,information
239,gun,owners
239,gun,ownership
239,production,line
239,message,boards
239,family,affair
239,pitching,staff
239,school,girls
239,city,dwellers
239,education,research
238,housing,development
238,entertainment,center
238,keynote,address
238,money,list
238,field,hockey
238,intelligence,sources
238,service,station
238,summer,sun
238,behavior,change
238,value,systems
238,care,program
238,family,law
238,area,residents
238,hair,dryer
238,power,industry
238,school,senior
238,college,career
238,life,jacket
238,music,classroom
238,picture,book
238,food,allergies
238,wedding,night
237,prison,time
237,personality,characteristics
237,power,companies
237,interaction,effect
237,poker,game
237,vanilla,bean
237,information,call
237,razor,blade
237,cat,food
237,government,jobs
237,healthcare,providers
237,file,cabinet
237,book,value
237,college,graduate
237,gold,leaf
237,soccer,field
237,job,offer
237,world,events
237,day,laborers
236,corner,office
236,prevention,efforts
236,shower,curtain
236,meat,thermometer
236,art,museums
236,field,notes
236,lymph,node
236,enemy,combatants
236,fire,chief
236,retirement,account
236,state,system
236,state,tax
236,thing,people
236,storm,clouds
236,team,captain
236,sum,total
236,government,funds
236,production,process
236,gag,order
236,gas,pedal
236,detector,test
235,health,hazards
235,minority,status
235,alarm,system
235,birth,rates
235,health,hazard
235,newspaper,clippings
235,rights,bill
235,particle,physics
235,highway,system
235,garage,sale
235,mining,town
235,business,sense
235,undergraduate,degree
235,adjustment,problems
235,record,store
235,college,experience
235,apartment,door
235,evaluation,process
235,elevator,doors
234,cover,letter
234,plus,side
234,tablespoons,water
234,soccer,players
234,immigration,officials
234,student,participation
234,music,world
234,poverty,rate
234,coal,miners
234,lawn,chairs
234,mortgage,interest
234,resort,town
234,fault,line
234,employment,status
234,fiber,optic
234,riot,police
234,g,carb
234,art,deco
233,assembly,lines
233,sex,crimes
233,guardian,angel
233,home,furnishings
233,sea,floor
233,awards,ceremony
233,project,director
233,subway,system
233,education,community
233,rape,victim
233,policy,goals
233,book,deal
233,shoe,store
233,power,play
233,eye,shadow
233,sting,operation
233,land,ownership
233,horror,movie
233,school,records
233,river,water
233,tobacco,products
233,farm,subsidies
233,bowling,ball
232,gun,violence
232,work,week
232,prevention,program
232,glass,case
232,engineering,firm
232,drug,charges
232,research,assistants
232,family,therapist
232,processing,plant
232,body,bags
232,fish,oil
232,business,schools
232,learning,disabilities
232,plane,ticket
232,documentary,film
232,farm,bill
232,grape,juice
232,policy,agenda
232,gas,mask
232,paper,plates
232,oil,business
232,fountain,pen
232,school,libraries
231,university,professors
231,sea,lion
231,wire,fence
231,party,politics
231,graduate,degree
231,data,processing
231,car,radio
231,drug,user
231,computer,graphics
231,love,songs
231,bank,loans
231,gender,role
231,board,meetings
231,health,professional
231,noise,level
231,government,assistance
231,budget,proposal
231,fan,club
231,baking,sheets
231,drug,coverage
231,tortilla,chips
231,care,settings
231,suicide,attempt
231,ice,sheet
231,youth,sports
231,practice,field
230,mountain,ranges
230,tablespoon,oil
230,traffic,controllers
230,safety,record
230,diesel,engines
230,postmenopausal,women
230,plate,glass
230,flight,path
230,identity,politics
230,labor,law
230,drug,tests
230,data,sources
230,program,development
230,storage,capacity
230,instrument,panel
230,authority,figures
230,classification,system
229,government,bonds
229,peace,settlement
229,work,schedule
229,security,officers
229,battery,pack
229,newspaper,editor
229,opening,scene
229,defense,counsel
229,intelligence,agency
229,district,attorneys
229,country,roads
229,chest,pains
229,sewer,system
229,satellite,dishes
229,tow,truck
229,marrow,transplant
229,student,athletes
229,truck,stop
229,energy,needs
229,family,leave
229,pressure,cooker
229,assessment,tools
229,class,actions
229,news,business
229,history,class
229,photo,albums
229,locker,rooms
228,safety,concerns
228,cranberry,sauce
228,talent,development
228,music,room
228,automobile,accident
228,leather,shoes
228,summer,afternoon
228,school,superintendent
228,time,series
228,dollar,amount
228,government,involvement
228,country,clubs
228,state,legislator
228,cranberry,juice
228,ice,cube
228,group,discussions
228,graduate,program
228,state,tournament
228,watering,hole
227,credit,unions
227,plant,growth
227,research,agenda
227,collard,greens
227,policy,debate
227,drug,money
227,school,improvement
227,war,zones
227,love,letter
227,reading,glasses
227,gender,bias
227,autopsy,report
227,group,activities
227,crisis,management
227,afternoon,light
227,school,climate
226,warning,system
226,paper,cup
226,record,books
226,flood,insurance
226,job,skills
226,services,company
226,security,experts
226,sea,urchin
226,city,residents
226,family,car
226,culture,shock
226,hair,cells
226,fiber,optics
226,silver,lining
226,test,site
226,student,progress
226,bay,window
226,coffee,mug
225,activity,level
225,beer,bottles
225,labor,leaders
225,studies,curriculum
225,sex,symbol
225,border,town
225,slave,labor
225,study,population
225,rock,face
225,life,force
225,jet,engines
225,food,supplies
225,dressing,gown
225,state,school
225,college,professors
225,walking,tour
225,rail,lines
225,state,enterprises
224,opening,night
224,restaurant,business
224,health,consequences
224,insurance,money
224,nursing,staff
224,street,vendors
224,rice,wine
224,coffee,beans
224,art,work
224,gift,certificate
224,slam,dunk
224,district,judge
224,reform,package
224,injection,drug
224,product,manager
224,card,number
224,island,nation
224,tumor,cells
224,trash,cans
223,company,president
223,power,brokers
223,baby,daughter
223,tourist,attractions
223,publishing,company
223,cell,lines
223,body,dissatisfaction
223,voting,booth
223,language,barrier
223,percent,approval
223,iron,gate
223,community,outreach
223,youth,group
223,police,reports
223,nerve,endings
223,street,lights
223,selection,committee
223,work,area
223,trade,sanctions
223,committee,member
223,food,court
223,wage,earners
223,research,process
223,tree,house
223,industry,analyst
223,computer,skills
223,tea,bags
223,car,bombs
223,behavior,modification
223,drug,industry
222,raison,d'etre
222,majority,party
222,care,plans
222,tax,hike
222,stereo,system
222,lottery,tickets
222,qua,non
222,bargaining,table
222,dispute,settlement
222,production,capacity
222,cadmium,red
222,enforcement,authorities
222,computer,scientist
222,page,editor
222,web,page
222,stone,steps
222,power,line
222,homicide,detective
222,trait,anxiety
222,drug,store
222,murder,mystery
222,action,committees
222,radio,signals
222,water,buffalo
222,college,town
222,serving,platter
222,city,workers
222,child,custody
222,state,income
222,basketball,tournament
221,feet,flat
221,jewelry,store
221,sports,programs
221,scrap,metal
221,rights,organization
221,alizarin,crimson
221,broadcast,networks
221,punt,return
221,freedom,fighters
221,family,photos
221,convenience,sample
221,sine,qua
221,dress,shirt
221,refrigerator,door
221,party,officials
221,time,trial
221,group,work
221,ricotta,cheese
221,tree,branch
221,dream,house
221,recycling,program
221,school,violence
221,rock,art
221,love,letters
221,scuba,diving
221,practice,sessions
220,software,companies
220,rocket,scientist
220,stock,car
220,parking,spot
220,air,support
220,police,investigation
220,business,news
220,hair,back
220,golf,game
220,world,power
220,rights,laws
220,war,machine
220,death,camps
220,police,stations
220,wine,cellar
220,hit,list
220,waste,sites
220,coffee,pot
220,northwest,corner
220,source,material
220,factory,worker
220,tape,measure
220,snack,bar
219,sales,price
219,grant,money
219,store,owners
219,arts,community
219,forest,management
219,mg,calcium
219,college,admissions
219,trouble,spots
219,radio,broadcasts
219,grams,fiber
219,skin,care
219,business,side
219,college,administrators
219,security,cameras
219,bus,service
219,bean,sprouts
219,stock,fund
219,ecosystem,services
219,movie,version
219,price,increase
219,relief,agencies
219,identity,formation
219,road,construction
218,drug,czar
218,business,ventures
218,suicide,attacks
218,staging,area
218,energy,supply
218,base,salary
218,fall,semester
218,development,efforts
218,garden,centers
218,winter,day
218,playoff,spot
218,newspaper,ads
218,motor,skill
218,homework,assignments
218,gym,bag
218,boom,box
218,dirt,floor
218,death,sentences
217,stimulus,plan
217,market,capitalization
217,technology,stocks
217,park,ranger
217,battle,lines
217,fighter,planes
217,oil,supply
217,family,farms
217,wine,country
217,metal,door
217,security,arrangements
217,bond,fund
217,dinner,plates
217,working,life
217,church,service
217,animal,kingdom
217,consumer,culture
217,university,level
217,question,marks
217,cocktail,parties
217,teaspoon,cayenne
217,lunch,box
217,sound,track
217,department,heads
217,student,interest
217,custody,battle
217,oil,crisis
217,puff,pastry
216,car,phone
216,rag,doll
216,dairy,farm
216,team,owner
216,satellite,radio
216,return,rate
216,car,wreck
216,blood,cell
216,master,suite
216,funding,sources
216,irrigation,water
216,jazz,musicians
216,home,values
216,dropout,rates
216,waking,hours
216,softball,team
216,school,population
215,youth,culture
215,authority,figure
215,beauty,queen
215,surface,temperature
215,game,play
215,water,tank
215,bus,drivers
215,factor,loadings
215,practice,session
215,history,lesson
215,book,bag
215,hockey,players
215,education,department
215,worker,program
215,murder,cases
215,stage,manager
215,fertility,rates
215,training,course
215,executive,board
215,rescue,mission
215,policy,initiatives
215,marketing,strategy
215,state,representative
214,growth,potential
214,world,records
214,debt,service
214,sports,events
214,stress,levels
214,prairie,dogs
214,school,sweetheart
214,manor,house
214,rice,fields
214,security,problems
214,theater,company
214,food,companies
214,tsp,salt
214,steel,door
214,faculty,development
214,wildlife,management
214,end,table
214,cable,car
214,school,graduate
214,health,program
214,rice,paddies
214,fashion,statement
214,atom,bomb
214,state,security
214,dust,particles
214,adult,male
214,science,research
214,missile,attack
214,cup,chicken
213,application,process
213,sugar,levels
213,arts,programs
213,trade,negotiations
213,painting,process
213,health,clubs
213,service,jobs
213,string,theory
213,infant,son
213,factory,floor
213,marketing,campaign
213,tobacco,company
213,girls,basketball
213,telephone,poles
213,habitat,loss
213,prison,sentences
213,tax,bills
213,blood,clots
213,airline,tickets
213,home,address
213,leadership,position
213,apartment,complexes
213,policy,issue
213,food,crops
213,street,clothes
212,paper,mill
212,tax,benefits
212,opening,ceremonies
212,energy,technologies
212,quantum,theory
212,delivery,room
212,cartoon,characters
212,piano,player
212,bargaining,power
212,ice,crystals
212,pork,loin
212,oil,exploration
212,shoulder,pads
212,show,hosts
212,farm,system
212,sterling,silver
212,fire,engine
212,industry,officials
212,baseball,teams
212,g,carbohydrates
212,oil,imports
212,life,sentences
212,case,scenario
212,test,subjects
212,class,discussion
212,success,rates
212,fire,truck
212,telephone,pole
212,interrogation,techniques
212,user,interface
212,intervention,group
212,brain,development
212,coalition,partners
212,love,interest
212,street,signs
212,bread,slices
211,blood,sample
211,saute,pan
211,county,government
211,emergency,management
211,fire,departments
211,voting,machines
211,war,games
211,assault,rifle
211,cable,industry
211,solicitor,general
211,defense,contractor
211,recovery,plan
211,ground,water
211,magazine,cover
211,music,critic
211,evening,meal
211,spina,bifida
211,wood,stove
211,revenue,growth
211,wind,farms
211,moisture,content
211,army,officers
211,back,injury
210,school,attendance
210,snow,peas
210,tree,species
210,ball,bearings
210,canon,law
210,hockey,game
210,health,costs
210,sunflower,seeds
210,learning,opportunities
210,brain,tissue
210,science,class
210,campaign,reform
210,home,turf
210,undergraduate,education
210,peanut,oil
210,prevalence,rates
210,sport,fans
210,music,lessons
209,engineering,design
209,lead,paint
209,church,bells
209,combat,operations
209,lab,tests
209,child,molester
209,chicken,pox
209,cigarette,lighter
209,job,seekers
209,steel,mill
209,spaghetti,sauce
209,barrier,islands
209,failure,rate
209,crescent,moon
209,diesel,engine
209,poet,laureate
209,training,ground
209,home,builders
209,yard,sale
209,home,movies
209,tin,roof
209,family,background
209,debit,card
209,data,management
209,tax,exemption
209,career,choices
208,turkey,breast
208,car,dealership
208,plastic,cup
208,code,word
208,press,box
208,exhibition,game
208,jewelry,box
208,opera,singer
208,information,highway
208,jazz,musician
208,learning,strategies
208,blood,clot
208,care,facility
208,support,network
208,manila,envelope
208,lecture,hall
208,fighting,force
208,hospital,beds
208,entertainment,business
208,rest,stop
207,enemy,lines
207,pants,pocket
207,security,camera
207,fiction,writer
207,electron,microscope
207,fantasy,world
207,service,learning
207,gulf,crisis
207,drug,markets
207,state,institutions
207,intelligence,reports
207,coal,mining
207,cocaine,use
207,cookie,sheets
207,credit,markets
207,arts,college
207,rehabilitation,program
207,postage,stamp
207,pie,plate
207,practice,law
207,state,capitol
207,family,physician
207,flour,tortillas
206,treasury,secretary
206,league,history
206,unity,government
206,field,office
206,home,residents
206,grace,period
206,school,administration
206,desk,chair
206,wood,floor
206,power,outages
206,work,day
206,entrance,hall
206,personality,disorders
206,care,delivery
206,franchise,history
206,combustion,engine
206,punk,rock
205,car,dealer
205,kitchen,cabinets
205,cycle,time
205,road,bike
205,fruit,flies
205,class,struggle
205,state,funds
205,care,insurance
205,division,title
205,construct,validity
205,travel,agents
205,test,score
205,manufacturing,plant
205,hall,meeting
205,health,reasons
205,hydrogen,peroxide
205,star,witness
205,cancer,survivor
205,intelligence,official
205,security,people
205,state,troopers
205,playoff,series
205,achievement,test
205,retention,rate
205,plaid,shirt
205,message,board
205,school,activities
205,feng,shui
205,silver,bullet
205,silver,hair
205,security,apparatus
205,productivity,growth
205,record,industry
205,launch,pad
204,discussion,group
204,mess,hall
204,shoulder,straps
204,parenting,style
204,prison,cell
204,love,affairs
204,pork,tenderloin
204,junk,bond
204,mortgage,payment
204,media,company
204,soil,moisture
204,plastic,bottles
204,turning,back
204,defense,systems
204,gang,violence
204,faux,pas
204,turnover,rate
204,progress,report
204,quantum,physics
204,baseball,history
204,school,grounds
204,care,physicians
204,consent,forms
204,tax,deductions
204,school,coach
204,plastic,surgeons
204,college,president
204,computer,simulation
204,minority,rights
204,game,day
204,wind,tunnel
203,science,courses
203,life,imprisonment
203,utility,companies
203,outreach,programs
203,budget,process
203,industry,leaders
203,railway,station
203,television,audience
203,firing,squad
203,landing,site
203,school,science
203,community,violence
203,student,newspaper
203,tour,operators
203,fishing,gear
203,sports,world
203,meat,loaf
203,loan,guarantees
203,film,star
203,operations,manager
203,wildlife,biologist
203,percent,discount
203,rose,garden
203,steel,mills
203,north,coast
203,starting,line
203,county,commissioners
203,opening,ceremony
203,kindergarten,teacher
203,opinion,poll
203,kickoff,return
202,motor,oil
202,recording,industry
202,population,control
202,well,water
202,leadership,style
202,entertainment,news
202,art,class
202,race,cars
202,research,institutions
202,trading,post
202,life,stories
202,software,packages
202,spring,semester
202,car,rental
202,fly,rod
202,mission,statements
202,conference,center
202,car,company
202,windshield,wipers
202,salt,teaspoon
202,back,problems
202,lobbying,group
202,ceiling,fan
202,cooling,system
202,fire,trucks
202,math,class
202,record,player
202,gas,mileage
202,sex,lives
202,classroom,setting
202,film,crew
202,policy,objectives
201,birth,date
201,world,views
201,business,decision
201,boarding,house
201,energy,sector
201,television,screens
201,morning,air
201,oil,supplies
201,boys,basketball
201,watch,list
201,action,figures
201,basketball,teams
201,cup,honey
201,gas,pipeline
201,gas,reserves
201,rest,room
201,soup,kitchens
201,business,class
201,enemy,fire
201,star,system
201,press,reports
201,auto,accident
201,shoulder,bag
201,index,funds
201,polling,places
201,cancer,patient
200,summer,season
200,sales,growth
200,coaching,job
200,abuse,cases
200,tax,liability
200,marriage,penalty
200,executive,secretary
200,ivory,tower
200,thought,process
200,construction,work
200,care,debate
200,outcome,variables
200,dance,music
200,butcher,shop
200,administration,building
200,writing,process
200,rights,law
200,pesticide,use
200,pot,roast
200,school,friends
200,world,opinion
200,culture,wars
200,pork,chop
200,card,company
200,computer,chip
200,state,education
200,window,frame
200,research,interests
199,estate,planning
199,ballot,initiative
199,water,samples
199,survival,skills
199,abuse,scandal
199,campaign,funds
199,landscape,painting
199,enterprise,system
199,school,administrator
199,trade,talks
199,pumpkin,seeds
199,work,habits
199,parish,priest
199,oil,embargo
199,court,battle
199,transaction,costs
199,land,rights
199,warning,sign
199,organ,donation
199,grass,clippings
199,barber,shop
199,war,chest
198,patent,leather
198,afternoon,tea
198,regression,equation
198,dial,tone
198,artillery,fire
198,brokerage,firms
198,league,team
198,strip,malls
198,security,issue
198,oven,temperature
198,user,fees
198,travel,time
198,study,sample
